dataset,NumberOfInstances,NumberOfFeatures,NumberOfClasses,MajorityClassSize,MinorityClassSize,MajorityClassPercentage,MinorityClassPercentage,MeanMeansOfNumericAtts,MeanStdDevOfNumericAtts,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanAttributeEntropy,NoiseToSignalRatio,IQA_MeanBrightness,IQA_MeanContrast
CSIQ_blur,150,8,5,30,30,20.0,20.0,,,,,,0.0,,
CSIQ_contrast,116,8,4,30,26,25.86206896551724,22.41379310344828,130.21535611953425,1.0263355907798226,,,12.815413696152042,0.2420059540061599,0.4119902203271774,0.1393358109128154
CSIQ_fnoise,150,8,5,30,30,20.0,20.0,130.45375417656408,0.4372080497613553,,,16.8757906241048,0.527124860711472,0.4178371108891207,0.2301902556912529
CSIQ_jpeg,150,8,5,30,30,20.0,20.0,,,,,,0.0,,
CSIQ_jpeg 2000,150,8,5,30,30,20.0,20.0,,,,,,0.0,,
CSIQ_noise,150,8,5,30,30,20.0,20.0,,,,,,0.0,,
ChallengeDB,1169,8,1,1169,1169,100.0,100.0,127.4691513286779,4.34361807368388,8.93754680008821,231.05121597284744,14.121531018991812,0.5000015194866164,0.4009409590479652,0.2174259128678498
KADID10k_Dist01,405,8,5,81,81,20.0,20.0,114.266812386261,0.550480903096257,,,14.94951786007614,0.4189436104643419,0.4500038701823054,0.1981905379735219
KADID10k_Dist02,405,8,5,81,81,20.0,20.0,114.2688858316315,0.5424508604482003,,,14.903677557823904,0.4082918607331337,0.450663184124913,0.1932849383604819
KADID10k_Dist03,405,8,5,81,81,20.0,20.0,114.27548081268634,0.5537914258074911,,,15.041379406321132,0.4243413250329861,0.449491480599306,0.200202415421963
KADID10k_Dist04,405,8,5,81,81,20.0,20.0,113.9899362045302,1.0200332169465611,,,12.274768099081273,0.4103002163136729,0.4347216629409464,0.1933287080485317
KADID10k_Dist05,405,8,5,81,81,20.0,20.0,114.30176478763556,0.566470283360939,,,15.237175722288386,0.4195107026910133,0.4477747378901729,0.1978967657381413
KADID10k_Dist06,405,8,5,81,81,20.0,20.0,112.90316255841697,0.4776005286044704,,,4.366018206172774,0.4719808805033144,0.4586506116616982,0.2259284874992899
